# Deep-sky objects — format: id,name,ra_hours,dec_degrees,magnitude,type
# To expand: replace with OpenNGC CSV (github.com/mattiaverga/OpenNGC)
# Type codes: oc=open cluster  gc=globular cluster  neb=nebula  gal=galaxy  pn=planetary nebula
#
# DSOs from OpenNGC — id,name,ra_hours,dec_degrees,magnitude,type
NGC0474,NGC 474,1.335192,3.415389,11.52,gal
NGC0488,NGC 488,1.363014,5.256722,10.26,gal
NGC0507,NGC 507,1.394419,33.256056,11.57,gal
NGC0514,NGC 514,1.401083,12.917389,11.71,gal
NGC0520 NED01,NGC 520,1.409578,3.794944,11.47,gal
NGC0521,NGC 521,1.409383,1.731389,11.8,gal
NGC0524,NGC 524,1.413256,9.538833,10.35,gal
NGC0533,NGC 533,1.425378,1.759111,11.47,gal
NGC0578,NGC 578,1.508081,-22.667361,11.09,gal
NGC0584,NGC 584,1.522431,-6.868056,10.35,gal
NGC0596,NGC 596,1.547800,-7.031833,10.95,gal
NGC0598,Triangulum Galaxy,1.564136,30.660222,5.79,gal
NGC0613,NGC 613,1.571714,-29.418361,10.35,gal
NGC0615,NGC 615,1.584911,-7.340306,11.66,gal
NGC0628,M074 / NGC 628,1.611597,15.783667,9.31,gal
NGC0636,NGC 636,1.651814,-7.512611,11.41,gal
NGC0650,Barbell Nebula,1.705469,51.575472,10.1,pn
NGC0660,NGC 660,1.717333,13.645056,11.29,gal
NGC0672,NGC 672,1.798478,27.432778,10.92,gal
NGC0674,NGC 674,1.854881,22.357972,11.97,gal
NGC0676,NGC 676,1.815919,5.907528,12.0,gal
NGC0680,NGC 680,1.829803,21.970861,11.9,gal
NGC0681,NGC 681,1.819675,-10.426417,11.87,gal
NGC0685,NGC 685,1.795225,-52.761806,11.5,gal
NGC0691,NGC 691,1.844922,21.759917,11.73,gal
NGC0718,NGC 718,1.887028,4.195833,11.66,gal
NGC0720,NGC 720,1.883472,-13.738667,10.14,gal
NGC0741,NGC 741,1.939175,5.628944,11.26,gal
NGC0772,NGC 772,1.988772,19.007528,10.3,gal
NGC0777,NGC 777,2.004139,31.429583,11.46,gal
NGC0779,NGC 779,1.995078,-5.963194,11.21,gal
NGC0784,NGC 784,2.021369,28.837250,11.73,gal
NGC0821,NGC 821,2.139206,10.994917,10.77,gal
NGC0864,NGC 864,2.257678,6.002611,11.07,gal
NGC0877,NGC 877,2.299900,14.544056,11.86,gal
NGC0890,NGC 890,2.366947,33.266056,11.87,gal
NGC0891,NGC 891,2.375947,42.349139,10.01,gal
NGC0895,NGC 895,2.360131,-5.521389,11.77,gal
NGC0897,NGC 897,2.351769,-33.720667,11.85,gal
NGC0908,NGC 908,2.384603,-21.233861,10.31,gal
NGC0922,NGC 922,2.417894,-24.788167,12.0,gal
NGC0925,NGC 925,2.454689,33.579167,10.12,gal
NGC0936,NGC 936,2.460406,-1.156278,10.23,gal
NGC0949,NGC 949,2.513514,37.136778,11.89,gal
NGC0955,NGC 955,2.509208,-1.108417,11.96,gal
NGC0972,NGC 972,2.570383,29.311278,11.33,gal
NGC0986,NGC 986,2.559542,-39.045056,10.91,gal
NGC0988,NGC 988,2.591042,-9.356194,11.21,gal
NGC1003,NGC 1003,2.654692,40.872306,11.51,gal
NGC1016,NGC 1016,2.638767,2.119250,11.64,gal
NGC1022,NGC 1022,2.642419,-6.677417,11.35,gal
NGC1023,NGC 1023,2.673336,39.063278,9.47,gal
NGC1032,NGC 1032,2.656567,1.093778,11.67,gal
NGC1042,NGC 1042,2.673325,-8.433556,11.22,gal
NGC1052,NGC 1052,2.684667,-8.255778,11.04,gal
NGC1055,NGC 1055,2.695897,0.443167,10.6,gal
NGC1058,NGC 1058,2.725000,37.341333,11.25,gal
NGC1060,NGC 1060,2.720847,32.424972,11.82,gal
NGC1068,M077 / NGC 1068,2.711308,-0.013278,9.29,gal
NGC1073,NGC 1073,2.727922,1.376111,11.05,gal
